comentario,sentimiento
La tarea fue completada correctamente,true
El sistema funciona muy bien,true
Excelente trabajo del equipo,true
Todo salio perfecto,true
El resultado fue muy satisfactorio,true
Me encanta como funciona el sistema,true
La aplicacion es rapida y eficiente,true
Muy buen desempeno del equipo,true
El proyecto fue un exito total,true
Funciona perfectamente sin errores,true
Gran avance en el desarrollo,true
El equipo hizo un trabajo increible,true
La solucion es muy buena,true
El sistema responde muy rapido,true
Estoy muy contento con el resultado,true
La tarea fallo completamente,false
El sistema tiene muchos errores,false
Pesimo trabajo del equipo,false
Todo salio mal y con problemas,false
El resultado fue muy decepcionante,false
No funciona correctamente el sistema,false
La aplicacion es lenta y tiene fallas,false
Muy mal desempeno del equipo,false
El proyecto fracaso totalmente,false
Tiene demasiados errores criticos,false
Muy mal avance en el desarrollo,false
El equipo hizo un trabajo terrible,false
La solucion es muy mala,false
El sistema no responde bien,false
Estoy muy decepcionado con el resultado,false
El error critico detiene todo el sistema,false
No se puede usar por los fallos,false
El rendimiento es deplorable,false
Completamente inutilizable,false
Demasiados problemas sin resolver,false
